./bin/cu10_prefixscan_256,       16384,14,3075075041.895269,0.053280
./bin/cu10_prefixscan_256,       32768,15,6440251572.930612,0.050880
./bin/cu10_prefixscan_256,       65536,16,11034482743.222307,0.059392
./bin/cu10_prefixscan_256,      131072,17,14177916111.894304,0.092448
./bin/cu10_prefixscan_256,      262144,18,24548996090.157753,0.106784
./bin/cu10_prefixscan_256,      524288,19,35501625262.666771,0.147680
./bin/cu10_prefixscan_256,     1048576,20,45159868347.466270,0.232192
./bin/cu10_prefixscan_256,     2097152,21,53542483357.679604,0.391680
./bin/cu10_prefixscan_256,     4194304,22,56721481895.645279,0.739456
./bin/cu10_prefixscan_256,     8388608,23,24761868764.350494,3.387712
./bin/cu10_prefixscan_256,    16777216,24,24329135261.917824,6.895936
./bin/cu10_prefixscan_256,    33554432,25,24074093210.847370,13.937984
./bin/cu10_prefixscan_256,    67108864,26,24042491352.787540,27.912608
./bin/cu10_prefixscan_256,   134217728,27,24051921556.272205,55.803329
./bin/cu10_prefixscan_256,   268435456,28,24235111216.474136,110.763039
./bin/cu10_prefixscan_512,         256, 8,90191657.441615,0.028384
./bin/cu10_prefixscan_512,         512, 9,177383591.347730,0.028864
./bin/cu10_prefixscan_512,        1024,10,192307691.111465,0.053248
./bin/cu10_prefixscan_512,        2048,11,385774562.668371,0.053088
./bin/cu10_prefixscan_512,        4096,12,751614803.077124,0.054496
./bin/cu10_prefixscan_512,        8192,13,1535692871.065220,0.053344
./bin/cu10_prefixscan_512,       16384,14,3208020046.342015,0.051072
./bin/cu10_prefixscan_512,       32768,15,5871559653.975814,0.055808
./bin/cu10_prefixscan_512,       65536,16,10611398891.761431,0.061760
./bin/cu10_prefixscan_512,      131072,17,20337636418.742470,0.064448
./bin/cu10_prefixscan_512,      262144,18,30464856649.853008,0.086048
./bin/cu10_prefixscan_512,      524288,19,35501625038.780899,0.147680
./bin/cu10_prefixscan_512,     1048576,20,43778223059.183907,0.239520
./bin/cu10_prefixscan_512,     2097152,21,51308228080.638000,0.408736
./bin/cu10_prefixscan_512,     4194304,22,55405166210.720543,0.757024
./bin/cu10_prefixscan_512,     8388608,23,24892602898.622890,3.369920
./bin/cu10_prefixscan_512,    16777216,24,24534865776.134514,6.838112
./bin/cu10_prefixscan_512,    33554432,25,24451507126.884651,13.722848
./bin/cu10_prefixscan_512,    67108864,26,24411858605.033737,27.490272
./bin/cu10_prefixscan_512,   134217728,27,24353545514.053272,55.112192
./bin/cu10_prefixscan_512,   268435456,28,24388111710.657635,110.068159
 ./bin/cu10_prefixscan_64,         256, 8,49782202.012618,0.051424
 ./bin/cu10_prefixscan_64,         512, 9,94506793.580685,0.054176
 ./bin/cu10_prefixscan_64,        1024,10,193821924.552736,0.052832
 ./bin/cu10_prefixscan_64,        2048,11,372960373.210155,0.054912
 ./bin/cu10_prefixscan_64,        4096,12,736478708.493247,0.055616
 ./bin/cu10_prefixscan_64,        8192,13,1001173249.981723,0.081824
 ./bin/cu10_prefixscan_64,       16384,14,2063683995.749222,0.079392
 ./bin/cu10_prefixscan_64,       32768,15,3962848316.982524,0.082688
 ./bin/cu10_prefixscan_64,       65536,16,7079156591.883705,0.092576
 ./bin/cu10_prefixscan_64,      131072,17,13576400352.727234,0.096544
 ./bin/cu10_prefixscan_64,      262144,18,20262181288.992580,0.129376
 ./bin/cu10_prefixscan_64,      524288,19,25338694971.684978,0.206912
 ./bin/cu10_prefixscan_64,     1048576,20,31347939190.445179,0.334496
 ./bin/cu10_prefixscan_64,     2097152,21,35495856661.300873,0.590816
 ./bin/cu10_prefixscan_64,     4194304,22,35796373513.979797,1.171712
 ./bin/cu10_prefixscan_64,     8388608,23,24473364770.070164,3.427648
 ./bin/cu10_prefixscan_64,    16777216,24,23978632152.107864,6.996736
 ./bin/cu10_prefixscan_64,    33554432,25,23908922259.310478,14.034272
 ./bin/cu10_prefixscan_64,    67108864,26,23655549811.848209,28.369184
 ./bin/cu10_prefixscan_64,   134217728,27,23694678326.808327,56.644672
 ./bin/cu10_prefixscan_64,   268435456,28,23968787013.196728,111.993759
